"Хлеб, мука и хлебобулочные изделия",Мясо и птица,Рыба,Молоко и молочные продукты,Крупы и макаронные изделия,Овощи,Фрукты и ягоды,"Соусы, приправы, заправки",Яйцо,Орехи
Хлеб свежий,Телятина,Хек филе,Сливочное масло,Овёс,Помидоры черри,Груша,Соль,,Орехи кедровые
Хлеб цельнозерновой,Говядина нежирная,Филе минтая,Творог 9%,Пшено,Тыква,Лимон,Петрушка,,Орехи грецкие
Рисовая мука,Мясной фарш,Стейк из лосося,Сыр фета,Гречка,Лук репчатый,Яблоко,Укроп,,
Мука пшеничная,Куриный фарш,Карп свежий,Молоко,Рис,Морковь,Киви,Базилик,,
,Говяжья лопатка,,Фетакса,Перловка,Грибы зеленушки,Авокадо,Чеснок,,
,Говядина ,,Сметена 20 %,Злаковые хлопья,Горошек зелёный,Апельсин,Перец молотый ,,
,Куриные бедрышки,,Кефир,Манная крупа,Перец чили красный,Банан,Лавровый лист,,
,,,Сыр твёрдый,Ячневая крупа,Лук красный,Грейпфрут,Орегано,,
,,,Тофу,Овсяные хлопья,Лук зелёный,Мандарин,Лимонный сок,,
,,,,Йогурт нежирный,Огурец,Клюква,Сахар,,
,,,,Кукурузная крупа,Помидор,Клубника,Ванильный сахар,,
,,,,Пшеничная крупа,Болгарский перец,Виноград,Кинза,,
,,,,,Маслины ,Шиповник сушеный,Паприка молотая,,
,,,,,Шампиньоны,Изюм,Петрушка,,
,,,,,Кукуруза консервированная,,Руккола,,
,,,,,Красная консервированная фасоль,,Ванилин,,
,,,,,Картофель,,Сахар коричневый,,
,,,,,Огурцы маринованные,,Мята,,
,,,,,Свекла,,Соевый соус,,
,,,,,Шпинат,,Горчица,,
,,,,,Салат латук,,Уксус яблочный,,
,,,,,Ботва свекольная,,Винный уксус,,
,,,,,Капуста пекинская,,Сода,,
,,,,,Редис,,Разрыхлитель,,
,,,,,Оливки,,Масло оливковое,,
,,,,,Капуста красная,,Масло кунжутное,,
,,,,,Капуста белокочанная,,Приправа для рыбы,,
,,,,,Вешенки,,Томатный сок,,
,,,,,Фасоль,,Специи сухие для мяса,,
,,,,,Брокколи,,Аджика,,
,,,,,Баклажан,,Специи сухие для курицы,,
,,,,,Томатная паста,,,,
